X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,TEL,FAX,詳細情報,開館時間,URL,バリアフリー情報,駐輪場 PC版詳細情報,駐輪場 携帯電話版詳細情報,大分類,小分類,カテゴリ,アイコン番号,施設ID
135.5054691,34.5922109,市立大学学術情報総合センター,しりつだいがくがくじゅつじょうほうそうごうせんたー,市立大学学術情報総合センター（しりつだいがくがくじゅつじょうほうそうごうせんたー）,住吉区杉本3丁目3番138号,住吉区,06-6605-3240,,,,http://www.media.osaka-cu.ac.jp/,,,,文化・観光,図書館,文化・観光/図書館,151,386
135.544424,34.703183,大阪市立城東図書館,おおさかしりつじょうとうとしょかん,大阪市立城東図書館（おおさかしりつじょうとうとしょかん）,城東区中央３丁目５－４５,城東区,06-6933-0350,06-6933-0351,,,http://www.oml.city.osaka.lg.jp/?page_id=141,,,,文化・観光,図書館,文化・観光/図書館,151,96244
135.527503,34.620514,大阪市立東住吉図書館,おおさかしりつひがしすみよしとしょかん,大阪市立東住吉図書館（おおさかしりつひがしすみよしとしょかん）,東住吉区東田辺2-11-28,東住吉区,06-6699-7000,,,,,,,,文化・観光,図書館,文化・観光/図書館,151,3129
135.4858203,34.6736001,大阪市公文書館,おおさかしこうぶんしょかん,大阪市公文書館（おおさかしこうぶんしょかん）,西区北堀江4-3-14,西区,06-6534-1662,06-6534-5482,,,http://www.city.osaka.lg.jp/somu/page/0000003759.html,,,,文化・観光,図書館,文化・観光/図書館,151,2167
135.4749253,34.606406,大阪市立住之江図書館,おおさかしりつすみのえとしょかん,大阪市立住之江図書館（おおさかしりつすみのえとしょかん）,住之江区南加賀屋3-1-20,住之江区,06-6683-2788,,,,http://www.oml.city.osaka.jp/info/69suminoe/index.html,,,,文化・観光,図書館,文化・観光/図書館,151,137
135.5004357,34.6048389,大阪市立住吉図書館,おおさかしりつすみよしとしょかん,大阪市立住吉図書館（おおさかしりつすみよしとしょかん）,住吉区南住吉3丁目15番57号,住吉区,06-6606-4946,06-6606-6987,,,http://www.oml.city.osaka.jp/info/70sumiyoshi/index.html,http://www.osaka-bfmap.jp/sisetu_data/data/210501.php?bunrui=1&name=21.php,,,文化・観光,図書館,文化・観光/図書館,151,1510
135.4948854,34.6344684,大阪市立西成図書館,おおさかしりつにしなりとしょかん,大阪市立西成図書館（おおさかしりつにしなりとしょかん）,西成区岸里1丁目1番50号,西成区,06-6659-2346,,,,http://www.oml.city.osaka.jp/info/73nishinari/,,,,文化・観光,図書館,文化・観光/図書館,151,4824
135.5105532,34.641069,大阪市立阿倍野図書館,おおさかしりつあべのとしょかん,大阪市立阿倍野図書館（おおさかしりつあべのとしょかん）,阿倍野区阿倍野筋4-19-118,阿倍野区,06-6656-1009,06-6656-1043,,,http://www.oml.city.osaka.jp/info/68abeno/,,,,文化・観光,図書館,文化・観光/図書館,151,1698
135.5593,34.6244109,大阪市立平野図書館,おおさかしりつひらのとしょかん,大阪市立平野図書館（おおさかしりつひらのとしょかん）,平野区平野東1-8-2,平野区,06-6793-0881,06-6791-5038,,,http://www.oml.city.osaka.jp/info/72hirano/,http://www.osaka-bfmap.jp/sisetu_data/data/230501.php?bunrui=1&name=23.php,,,文化・観光,図書館,文化・観光/図書館,151,2333
135.4720673,34.6509919,大阪市立大正図書館,おおさかしりつたいしょうとしょかん,大阪市立大正図書館（おおさかしりつたいしょうとしょかん）,大正区千島2-6-15,大正区,06-6552-1116,,,,http://www.oml.city.osaka.jp/info/57taisho/,,,,文化・観光,図書館,文化・観光/図書館,151,3854
135.4959688,34.6585779,大阪市立浪速図書館,おおさかしりつなにわとしょかん,大阪市立浪速図書館（おおさかしりつなにわとしょかん）,浪速区敷津西1-5-23,浪速区,06-6632-4946,06-6632-4973,,,http://www.oml.city.osaka.jp/info/59naniwa/,http://www.osaka-bfmap.jp/sisetu_data/data/100501.php?bunrui=1&name=10.php,,,文化・観光,図書館,文化・観光/図書館,151,56
135.4585717,34.6677469,大阪市立港図書館,おおさかしりつみなととしょかん,大阪市立港図書館（おおさかしりつみなととしょかん）,港区弁天2-1-5,港区,06-6576-2346,,,,http://www.oml.city.osaka.jp/info/56minato/,,,,文化・観光,図書館,文化・観光/図書館,151,1064
135.5397583,34.653167,大阪市立生野図書館,おおさかしりついくのとしょかん,大阪市立生野図書館（おおさかしりついくのとしょかん）,生野区勝山南4丁目7番11号,生野区,06-6717-2381,,,,http://www.oml.city.osaka.jp/info/64ikuno/,http://www.osaka-bfmap.jp/sisetu_data/data/150501.php?bunrui=1&name=15.php,,,文化・観光,図書館,文化・観光/図書館,151,4535
135.5220693,34.6614892,大阪市立天王寺図書館,おおさかしりつてんのうじとしょかん,大阪市立天王寺図書館（おおさかしりつてんのうじとしょかん）,天王寺区上之宮町4-47,天王寺区,06-6771-2840,,,,http://www.oml.city.osaka.jp/info/58tennoji/index.html,http://www.osaka-bfmap.jp/sisetu_data/data/090501.php?bunrui=1&name=9.php,,,文化・観光,図書館,文化・観光/図書館,151,4284
135.5078919,34.671475,大阪市立島之内図書館,おおさかしりつしまのうちとしょかん,大阪市立島之内図書館（おおさかしりつしまのうちとしょかん）,中央区島之内2-12-31,中央区,06-6211-3645,06-6212-5449,,,http://www.oml.city.osaka.jp/info/55shimanouchi/index.html,http://www.osaka-bfmap.jp/sisetu_data/data/050501.php?bunrui=1&name=5.php,,,文化・観光,図書館,文化・観光/図書館,151,710
135.5412311,34.6681847,大阪市立東成図書館,おおさかしりつひがしなりとしょかん,大阪市立東成図書館（おおさかしりつひがしなりとしょかん）,東成区大今里西3丁目2番17号,東成区,06-6972-0727,06-6972-0278,,,http://www.oml.city.osaka.jp/info/63higashinari/,,,,文化・観光,図書館,文化・観光/図書館,151,3417
135.4569527,34.6859331,大阪市立此花図書館,おおさかしりつこのはなとしょかん,大阪市立此花図書館（おおさかしりつこのはなとしょかん）,此花区四貫島1-1-18,此花区,6463-3463,,,,http://www.oml.city.osaka.jp/info/54konohana/index.html,http://www.osaka-bfmap.jp/sisetu_data/data/040501.php?bunrui=1&name=4.php,,,文化・観光,図書館,文化・観光/図書館,151,934
135.4859692,34.673961,大阪市立中央図書館,おおさかしりつちゅうおうとしょかん,大阪市立中央図書館（おおさかしりつちゅうおうとしょかん）,西区北堀江4-3-2,西区,06-6539-3300,06-6539-3335,,,http://www.oml.city.osaka.jp/info/10chuo/index.html,http://www.osaka-bfmap.jp/sisetu_data/data/060501.php?bunrui=1&name=6.php,,,文化・観光,図書館,文化・観光/図書館,151,2168
135.4731311,34.6913921,大阪市立福島図書館,おおさかしりつふくしまとしょかん,大阪市立福島図書館（おおさかしりつふくしまとしょかん）,福島区吉野3-17-23（区民センター3階）,福島区,06-6468-2336,06-6468-5191,,,http://www.oml.city.osaka.jp/info/53fukushima/,,,,文化・観光,図書館,文化・観光/図書館,151,3524
135.4960139,34.6919749,日本ライトハウス情報文化センター,にっぽんらいとはうすじょうほうぶんかせんたー,日本ライトハウス情報文化センター（にっぽんらいとはうすじょうほうぶんかせんたー）,西区江戸堀1-13-2,西区,06-6441-0015,06-6441-0095,,,,,,,文化・観光,図書館,文化・観光/図書館,151,2166
135.5031528,34.6936888,府立中之島図書館,ふりつなかのしまとしょかん,府立中之島図書館（ふりつなかのしまとしょかん）,北区中之島1-2-10,北区,06-6203-0474,,,,,,,,文化・観光,図書館,文化・観光/図書館,151,272
135.5277813,34.7008862,大阪市立都島図書館,おおさかしりつみやこじまとしょかん,大阪市立都島図書館（おおさかしりつみやこじまとしょかん）,都島区中野町2-16-25,都島区,06-6354-3229,,,,http://www.oml.city.osaka.jp/info/52miyakojima/,,,,文化・観光,図書館,文化・観光/図書館,151,8517
135.4561112,34.7111331,大阪市立西淀川図書館,おおさかしりつにしよどがわとしょかん,大阪市立西淀川図書館（おおさかしりつにしよどがわとしょかん）,西淀川区御幣島1丁目2番10号,西淀川区,06-6474-7900,,,,http://www.oml.city.osaka.jp/info/60nishiyodogawa/,,,,文化・観光,図書館,文化・観光/図書館,151,3715
